timestamp,field1,field2,field3,field4,field5,field6,field7
2026-03-28 00:03:25,9.00,54.00,23.23,95.62,1016.10,21.00,1860.00
2026-03-28 00:08:25,4.00,54.00,23.20,95.62,1016.12,21.00,1851.00
2026-03-28 00:13:25,8.00,54.00,23.23,95.61,1016.12,21.00,1864.00
2026-03-28 00:18:25,9.00,54.00,23.20,95.59,1016.11,21.00,1871.00
2026-03-28 00:23:25,9.00,54.00,23.23,95.61,1016.21,21.00,1870.00
2026-03-28 00:28:25,9.00,54.00,23.22,95.62,1016.22,21.00,1877.00
2026-03-28 00:33:25,9.00,54.00,23.21,95.62,1016.28,21.00,1886.00
2026-03-28 00:38:25,8.00,54.00,23.22,95.62,1016.33,21.00,1884.00
2026-03-28 00:43:25,8.00,54.00,23.20,95.63,1016.25,21.00,1884.00
2026-03-28 00:48:25,6.00,54.00,23.22,95.63,1016.27,21.00,1897.00
2026-03-28 00:53:25,8.00,54.00,23.19,95.64,1016.32,21.00,1891.00
2026-03-28 00:58:25,8.00,54.00,23.20,95.62,1016.30,21.00,1893.00
2026-03-28 01:03:25,9.00,54.00,23.21,95.64,1016.29,21.00,1887.00
2026-03-28 01:08:25,8.00,54.00,23.20,95.66,1016.28,21.00,1895.00
2026-03-28 01:13:25,7.00,54.00,23.21,95.63,1016.24,21.00,1903.00
2026-03-28 01:18:25,8.00,54.00,23.18,95.68,1016.26,21.00,1904.00
2026-03-28 01:23:25,8.00,56.00,23.20,95.66,1016.27,21.00,1903.00
2026-03-28 01:28:25,8.00,54.00,23.18,95.64,1016.27,21.00,1907.00
2026-03-28 01:33:25,11.00,54.00,23.20,95.66,1016.28,21.00,1923.00
2026-03-28 01:38:25,8.00,54.00,23.20,95.60,1016.23,21.00,1923.00
2026-03-28 01:43:25,8.00,54.00,23.18,95.62,1016.17,21.00,1930.00
2026-03-28 01:48:25,9.00,54.00,23.19,95.62,1016.13,21.00,1925.00
2026-03-28 01:53:25,9.00,54.00,23.17,95.68,1016.05,21.00,1918.00
2026-03-28 01:58:25,8.00,54.00,23.19,95.67,1016.04,21.00,1917.00
2026-03-28 02:03:25,9.00,55.00,23.16,95.65,1016.00,21.00,1922.00
2026-03-28 02:08:25,9.00,54.00,23.18,95.67,1015.88,21.00,1926.00
2026-03-28 02:13:25,11.00,54.00,23.18,95.63,1015.91,21.00,1939.00
2026-03-28 02:18:25,8.00,54.00,23.17,95.64,1015.85,21.00,1945.00
2026-03-28 02:23:25,9.00,54.00,23.18,95.63,1015.82,21.00,1953.00
2026-03-28 02:28:25,9.00,54.00,23.15,95.64,1015.76,21.00,1937.00
2026-03-28 02:33:25,8.00,54.00,23.17,95.65,1015.76,21.00,1946.00
2026-03-28 02:38:25,9.00,54.00,23.15,95.64,1015.70,21.00,1957.00
2026-03-28 02:43:25,8.00,54.00,23.16,95.64,1015.58,21.00,1961.00
2026-03-28 02:48:25,9.00,54.00,23.17,95.64,1015.53,21.00,1971.00
2026-03-28 02:53:25,9.00,54.00,23.15,95.66,1015.46,21.00,1965.00
2026-03-28 02:58:25,8.00,53.00,23.16,95.68,1015.44,21.00,1978.00
2026-03-28 03:03:25,9.00,54.00,23.13,95.66,1015.41,21.00,1973.00
2026-03-28 03:08:25,9.00,54.00,23.16,95.67,1015.41,21.00,1986.00
2026-03-28 03:13:25,9.00,54.00,23.13,95.63,1015.47,21.00,1990.00
2026-03-28 03:18:25,8.00,55.00,23.15,95.68,1015.39,21.00,1987.00
2026-03-28 03:23:25,8.00,54.00,23.15,95.64,1015.31,21.00,1999.00
2026-03-28 03:28:25,9.00,54.00,23.15,95.66,1015.36,21.00,1991.00
2026-03-28 03:33:25,9.00,54.00,23.15,95.66,1015.36,21.00,2000.00
2026-03-28 03:38:25,8.00,54.00,23.12,95.64,1015.33,21.00,2005.00
2026-03-28 03:43:25,8.00,54.00,23.15,95.62,1015.37,21.00,1998.00
2026-03-28 03:48:25,9.00,54.00,23.12,95.62,1015.31,21.00,2004.00
2026-03-28 03:53:25,8.00,54.00,23.14,95.63,1015.29,21.00,2013.00
2026-03-28 03:58:25,9.00,54.00,23.14,95.63,1015.25,21.00,2021.00
2026-03-28 04:03:25,8.00,54.00,23.13,95.63,1015.16,21.00,2018.00
2026-03-28 04:08:25,9.00,54.00,23.14,95.60,1015.26,21.00,2031.00
2026-03-28 04:13:25,9.00,54.00,23.10,95.64,1015.25,21.00,2026.00
2026-03-28 04:18:25,8.00,54.00,23.13,95.59,1015.26,21.00,2030.00
2026-03-28 04:23:25,8.00,54.00,23.11,95.58,1015.32,21.00,2039.00
2026-03-28 04:28:25,8.00,54.00,23.13,95.61,1015.32,21.00,2047.00
2026-03-28 04:33:25,9.00,54.00,23.13,95.61,1015.36,21.00,2046.00
2026-03-28 04:38:25,8.00,54.00,23.12,95.65,1015.27,21.00,2050.00
2026-03-28 04:43:25,9.00,54.00,23.13,95.63,1015.26,21.00,2045.00
2026-03-28 04:48:25,9.00,54.00,23.10,95.63,1015.11,21.00,2037.00
2026-03-28 04:53:25,7.00,54.00,23.12,95.66,1015.09,21.00,2060.00
2026-03-28 04:58:25,9.00,54.00,23.10,95.64,1015.16,21.00,2069.00
2026-03-28 05:03:25,80.00,54.00,23.16,95.67,1015.06,21.00,2064.00
2026-03-28 05:08:25,79.00,54.00,23.26,95.72,1015.17,21.00,2061.00
2026-03-28 05:13:25,79.00,54.00,23.36,95.85,1015.15,21.00,2048.00
2026-03-28 05:18:25,78.00,53.00,23.42,95.84,1015.21,21.00,2056.00
2026-03-28 05:23:25,79.00,54.00,23.48,95.80,1015.21,21.00,2047.00
2026-03-28 05:28:25,79.00,54.00,23.51,95.78,1015.15,21.00,2058.00
2026-03-28 05:33:25,79.00,54.00,23.53,95.71,1015.18,21.00,2053.00
2026-03-28 05:38:25,79.00,54.00,23.56,95.67,1015.23,21.00,2049.00
2026-03-28 05:43:25,79.00,54.00,23.56,95.59,1015.32,21.00,2050.00
2026-03-28 05:48:25,79.00,54.00,23.58,95.57,1015.41,21.00,2032.00
2026-03-28 05:53:25,79.00,57.00,23.58,95.54,1015.46,21.00,2034.00
2026-03-28 05:58:25,79.00,54.00,23.59,95.51,1015.45,21.00,2025.00
