timestamp,field1,field2,field3,field4,field5,field6,field7
2026-02-08 00:00:43,0.00,48.00,19.58,99.16,1004.99,20.60,354.00
2026-02-08 00:05:43,0.00,49.00,19.58,99.15,1005.00,20.60,361.00
2026-02-08 00:10:43,0.00,49.00,19.58,99.15,1005.01,20.60,361.00
2026-02-08 00:15:43,0.00,49.00,19.59,99.16,1005.05,20.60,365.00
2026-02-08 00:20:43,0.00,48.00,19.58,99.15,1005.03,20.60,364.00
2026-02-08 00:25:43,0.00,49.00,19.57,99.15,1005.02,20.60,363.00
2026-02-08 00:30:43,0.00,49.00,19.58,99.16,1005.03,20.60,368.00
2026-02-08 00:35:43,0.00,49.00,19.58,99.16,1005.03,20.60,362.00
2026-02-08 00:40:43,0.00,49.00,19.58,99.16,1005.05,20.60,371.00
2026-02-08 00:45:43,0.00,48.00,19.59,99.16,1005.04,20.60,377.00
2026-02-08 00:50:43,0.00,48.00,19.58,99.16,1005.10,20.60,380.00
2026-02-08 00:55:43,0.00,48.00,19.58,99.16,1005.15,20.60,382.00
2026-02-08 01:00:43,0.00,48.00,19.58,99.17,1005.11,20.60,380.00
2026-02-08 01:05:43,0.00,48.00,19.59,99.17,1005.10,20.60,387.00
2026-02-08 01:10:43,0.00,49.00,19.58,99.16,1005.10,20.60,387.00
2026-02-08 01:15:43,0.00,48.00,19.59,99.17,1005.10,20.60,389.00
2026-02-08 01:20:43,0.00,48.00,19.58,99.16,1005.08,20.60,393.00
2026-02-08 01:25:43,0.00,49.00,19.59,99.17,1005.02,20.60,400.00
2026-02-08 01:30:43,0.00,49.00,19.59,99.19,1005.04,20.60,401.00
2026-02-08 01:35:43,0.00,48.00,19.59,99.17,1005.04,20.60,397.00
2026-02-08 01:40:43,0.00,49.00,19.59,99.17,1005.06,20.60,392.00
2026-02-08 01:45:43,0.00,48.00,19.59,99.17,1005.07,20.60,402.00
2026-02-08 01:50:43,0.00,49.00,19.59,99.17,1005.15,20.60,396.00
2026-02-08 01:55:43,0.00,48.00,19.59,99.17,1005.15,20.60,400.00
2026-02-08 02:00:43,0.00,48.00,19.59,99.18,1005.18,20.60,416.00
2026-02-08 02:05:43,0.00,49.00,19.59,99.18,1005.17,20.60,0.00
2026-02-08 02:10:43,0.00,48.00,19.59,99.17,1005.16,20.60,420.00
2026-02-08 02:15:43,0.00,48.00,19.59,99.17,1005.11,20.60,416.00
2026-02-08 02:20:43,0.00,48.00,19.59,99.17,1005.09,20.60,411.00
2026-02-08 02:25:43,0.00,48.00,19.59,99.16,1005.04,20.60,416.00
2026-02-08 02:30:43,0.00,48.00,19.58,99.18,1005.04,20.60,420.00
2026-02-08 02:35:43,0.00,48.00,19.59,99.17,1005.13,20.60,425.00
2026-02-08 02:40:43,0.00,48.00,19.59,99.17,1005.16,20.60,432.00
2026-02-08 02:45:43,0.00,48.00,19.59,99.18,1005.10,20.60,431.00
2026-02-08 02:50:43,0.00,48.00,19.59,99.18,1005.06,20.60,428.00
2026-02-08 02:55:43,0.00,48.00,19.59,99.19,1005.10,20.60,427.00
2026-02-08 03:00:43,0.00,49.00,19.59,99.20,1005.11,20.60,429.00
2026-02-08 03:05:43,0.00,48.00,19.60,99.19,1005.11,20.60,429.00
2026-02-08 03:10:43,0.00,49.00,19.59,99.18,1005.04,20.60,428.00
2026-02-08 03:15:43,0.00,48.00,19.59,99.22,1005.06,20.60,435.00
2026-02-08 03:20:43,0.00,48.00,19.59,99.18,1005.09,20.60,439.00
2026-02-08 03:25:43,0.00,49.00,19.60,99.19,1005.18,20.60,440.00
2026-02-08 03:30:43,0.00,49.00,19.59,99.15,1005.19,20.60,442.00
2026-02-08 03:35:43,0.00,49.00,19.59,99.18,1005.21,20.60,444.00
2026-02-08 03:40:43,0.00,48.00,19.59,99.18,1005.25,20.60,442.00
2026-02-08 03:45:43,0.00,48.00,19.59,99.19,1005.28,20.60,452.00
2026-02-08 03:50:43,0.00,48.00,19.59,99.18,1005.31,20.60,452.00
2026-02-08 03:55:43,0.00,49.00,19.60,99.19,1005.36,20.60,458.00
2026-02-08 04:00:43,0.00,48.00,19.59,99.19,1005.37,20.60,458.00
2026-02-08 04:05:43,0.00,49.00,19.59,99.19,1005.41,20.60,455.00
2026-02-08 04:10:43,0.00,48.00,19.60,99.19,1005.39,20.60,464.00
2026-02-08 04:15:43,0.00,43.00,19.60,99.20,1005.42,20.60,467.00
2026-02-08 04:20:43,0.00,49.00,19.60,99.20,1005.44,20.60,470.00
2026-02-08 04:25:43,0.00,49.00,19.60,99.19,1005.52,20.60,471.00
2026-02-08 04:30:43,0.00,49.00,19.60,99.20,1005.52,20.60,464.00
2026-02-08 04:35:43,0.00,48.00,19.60,99.19,1005.48,20.60,469.00
2026-02-08 04:40:43,0.00,48.00,19.59,99.19,1005.46,20.60,470.00
2026-02-08 04:45:43,0.00,49.00,19.59,99.19,1005.50,20.60,465.00
2026-02-08 04:50:43,0.00,48.00,19.60,99.19,1005.54,20.60,471.00
2026-02-08 04:55:43,0.00,49.00,19.60,99.20,1005.52,20.60,477.00
2026-02-08 05:00:43,0.00,48.00,19.60,99.29,1005.51,20.60,484.00
2026-02-08 05:05:43,0.00,48.00,19.60,99.21,1005.47,20.60,492.00
2026-02-08 05:10:43,0.00,48.00,19.61,99.21,1005.54,20.60,495.00
2026-02-08 05:15:43,0.00,49.00,19.60,99.21,1005.51,20.60,495.00
2026-02-08 05:20:43,0.00,49.00,19.60,99.21,1005.51,20.60,490.00
2026-02-08 05:25:43,0.00,49.00,19.60,99.21,1005.56,20.60,489.00
2026-02-08 05:30:43,0.00,48.00,19.60,99.21,1005.57,20.60,488.00
2026-02-08 05:35:43,0.00,49.00,19.61,99.21,1005.59,20.60,495.00
2026-02-08 05:40:43,0.00,49.00,19.61,99.20,1005.63,20.60,494.00
