timestamp,field1,field2,field3,field4,field5,field6,field7
2026-03-03 00:03:07,0.00,85.00,22.58,51.51,1019.43,20.30,1427.00
2026-03-03 00:08:07,0.00,0.00,22.60,51.48,1019.42,20.30,1421.00
2026-03-03 00:13:07,0.00,0.00,22.59,51.48,1019.39,20.30,1423.00
2026-03-03 00:18:07,0.00,99.00,22.57,51.48,1019.44,20.30,1417.00
2026-03-03 00:23:07,0.00,0.00,22.59,51.42,1019.43,20.30,1427.00
2026-03-03 00:28:07,0.00,99.00,22.58,51.46,1019.43,20.30,1429.00
2026-03-03 00:33:07,0.00,2.00,22.56,51.49,1019.43,20.30,1423.00
2026-03-03 00:38:07,0.00,0.00,22.59,51.46,1019.41,20.30,1423.00
2026-03-03 00:43:07,0.00,99.00,22.59,51.50,1019.52,20.30,1420.00
2026-03-03 00:48:07,0.00,99.00,22.56,51.47,1019.58,20.30,1430.00
2026-03-03 00:53:07,0.00,20.00,22.57,51.48,1019.58,20.30,1429.00
2026-03-03 00:58:07,0.00,85.00,22.57,51.47,1019.60,20.30,1431.00
2026-03-03 01:03:07,0.00,99.00,22.58,51.49,1019.63,20.30,1432.00
2026-03-03 01:08:07,0.00,45.00,22.56,51.52,1019.61,20.30,1427.00
2026-03-03 01:13:07,0.00,0.00,22.56,51.46,1019.63,20.30,1425.00
2026-03-03 01:18:07,0.00,12.00,22.56,51.51,1019.60,20.30,1428.00
2026-03-03 01:23:07,0.00,99.00,22.56,51.46,1019.59,20.30,1431.00
2026-03-03 01:28:07,0.00,14.00,22.56,51.47,1019.62,20.30,1433.00
2026-03-03 01:33:07,0.00,49.00,22.56,51.48,1019.63,20.30,1428.00
2026-03-03 01:38:07,0.00,99.00,22.54,51.47,1019.61,20.30,1429.00
2026-03-03 01:43:07,0.00,98.00,22.55,51.48,1019.61,20.30,1426.00
2026-03-03 01:48:07,0.00,99.00,22.55,51.45,1019.61,20.30,1419.00
2026-03-03 01:53:07,0.00,99.00,22.54,51.47,1019.62,20.30,1414.00
2026-03-03 01:58:07,0.00,36.00,22.55,51.46,1019.64,20.30,1419.00
2026-03-03 02:03:07,0.00,99.00,22.54,51.44,1019.62,20.30,1428.00
2026-03-03 02:08:07,0.00,98.00,22.53,51.46,1019.58,20.30,1426.00
2026-03-03 02:13:07,0.00,0.00,22.54,51.47,1019.56,20.30,1423.00
2026-03-03 02:18:07,0.00,99.00,22.53,51.46,1019.57,20.30,1423.00
2026-03-03 02:23:07,0.00,83.00,22.53,51.48,1019.52,20.30,1421.00
2026-03-03 02:28:07,0.00,72.00,22.53,51.47,1019.45,20.30,1419.00
2026-03-03 02:33:07,0.00,45.00,22.53,51.45,1019.47,20.30,1425.00
2026-03-03 02:38:07,0.00,99.00,22.52,51.49,1019.48,20.30,1424.00
2026-03-03 02:43:07,0.00,90.00,22.52,51.46,1019.54,20.30,1431.00
2026-03-03 02:48:07,0.00,88.00,22.52,51.50,1019.49,20.30,1423.00
2026-03-03 02:53:07,0.00,49.00,22.52,51.48,1019.48,20.30,1424.00
2026-03-03 02:58:07,0.00,80.00,22.52,51.48,1019.46,20.30,1420.00
2026-03-03 03:03:07,0.00,85.00,22.52,51.49,1019.50,20.30,1424.00
2026-03-03 03:08:07,0.00,99.00,22.52,51.47,1019.53,20.30,1424.00
2026-03-03 03:13:07,0.00,43.00,22.51,51.47,1019.49,20.30,1421.00
2026-03-03 03:18:07,0.00,0.00,22.51,51.47,1019.47,20.30,1422.00
2026-03-03 03:23:07,0.00,99.00,22.52,51.48,1019.47,20.30,1424.00
2026-03-03 03:28:07,0.00,99.00,22.50,51.46,1019.46,20.30,1415.00
2026-03-03 03:33:07,0.00,92.00,22.51,51.44,1019.50,20.30,1415.00
2026-03-03 03:38:07,0.00,0.00,22.50,51.46,1019.50,20.30,1419.00
2026-03-03 03:43:07,0.00,97.00,22.50,51.48,1019.46,20.30,1416.00
2026-03-03 03:48:07,0.00,22.00,22.49,51.44,1019.48,20.30,1411.00
2026-03-03 03:53:07,0.00,54.00,22.50,51.46,1019.51,20.30,1412.00
2026-03-03 03:58:07,0.00,0.00,22.49,51.44,1019.53,20.30,1406.00
2026-03-03 04:03:07,0.00,1.00,22.49,51.49,1019.57,20.30,1416.00
2026-03-03 04:08:07,0.00,87.00,22.49,51.44,1019.56,20.30,1417.00
2026-03-03 04:13:07,0.00,0.00,22.49,51.46,1019.61,20.30,1415.00
2026-03-03 04:18:07,0.00,49.00,22.49,51.45,1019.59,20.30,1410.00
2026-03-03 04:23:07,0.00,0.00,22.49,51.46,1019.57,20.30,1408.00
2026-03-03 04:28:07,0.00,85.00,22.48,51.45,1019.56,20.30,1412.00
2026-03-03 04:33:07,0.00,99.00,22.48,51.44,1019.55,20.30,1417.00
2026-03-03 04:38:07,0.00,0.00,22.47,51.43,1019.60,20.30,1414.00
2026-03-03 04:43:07,0.00,99.00,22.48,51.45,1019.62,20.30,1415.00
2026-03-03 04:48:07,0.00,99.00,22.47,51.45,1019.59,20.30,1416.00
2026-03-03 04:53:07,0.00,86.00,22.47,51.45,1019.62,20.30,1415.00
2026-03-03 04:58:07,0.00,99.00,22.46,51.46,1019.67,20.30,1419.00
2026-03-03 05:03:07,0.00,99.00,22.47,51.48,1019.68,20.30,1418.00
2026-03-03 05:08:07,0.00,99.00,22.46,51.45,1019.72,20.30,1417.00
2026-03-03 05:13:07,0.00,95.00,22.47,51.43,1019.72,20.30,1417.00
2026-03-03 05:18:07,0.00,30.00,22.46,51.44,1019.70,20.30,1413.00
2026-03-03 05:23:07,0.00,23.00,22.45,51.44,1019.70,20.30,1422.00
2026-03-03 05:28:07,0.00,99.00,22.45,51.44,1019.78,20.30,1416.00
2026-03-03 05:33:07,0.00,0.00,22.45,51.44,1019.71,20.30,1417.00
2026-03-03 05:38:07,0.00,42.00,22.45,51.45,1019.75,20.30,1417.00
2026-03-03 05:43:07,0.00,39.00,22.45,51.42,1019.77,20.30,1416.00
2026-03-03 05:48:07,0.00,93.00,22.43,51.44,1019.80,20.30,1415.00
2026-03-03 05:53:07,0.00,8.00,22.44,51.43,1019.81,20.30,1409.00
2026-03-03 05:58:07,80.00,99.00,22.44,51.43,1019.77,20.30,1416.00
2026-03-03 06:03:07,88.00,10.00,22.50,51.39,1019.69,20.30,1420.00
2026-03-03 06:08:07,88.00,96.00,22.58,51.27,1019.70,20.30,1414.00
2026-03-03 06:13:07,83.00,0.00,22.64,51.19,1019.72,20.30,1416.00
2026-03-03 06:18:07,81.00,82.00,22.68,51.10,1019.69,20.30,1417.00
2026-03-03 06:23:07,82.00,99.00,22.72,51.09,1019.72,20.30,1419.00
2026-03-03 06:28:07,81.00,99.00,22.75,51.06,1019.82,20.30,1420.00
2026-03-03 06:33:07,81.00,0.00,22.77,51.02,1019.75,20.30,1417.00
2026-03-03 06:38:07,81.00,44.00,22.79,50.99,1019.78,20.30,1413.00
2026-03-03 06:43:07,81.00,95.00,22.80,50.99,1019.82,20.30,1419.00
2026-03-03 06:48:07,81.00,99.00,22.81,50.98,1019.84,20.30,1418.00
2026-03-03 06:53:07,81.00,99.00,22.82,50.97,1019.84,20.30,1416.00
2026-03-03 06:58:07,81.00,9.00,22.83,50.98,1019.85,20.30,1422.00
2026-03-03 07:03:07,81.00,99.00,22.83,50.98,1019.83,20.30,1422.00
2026-03-03 07:08:07,80.00,99.00,22.83,50.97,1019.86,20.30,1418.00
2026-03-03 07:13:07,81.00,32.00,22.83,51.00,1019.90,20.30,1410.00
2026-03-03 07:18:07,81.00,99.00,22.84,50.96,1019.90,20.30,1410.00
2026-03-03 07:23:07,81.00,0.00,22.84,50.95,1019.95,20.30,1415.00
2026-03-03 07:28:07,81.00,0.00,22.84,50.98,1019.99,20.30,1419.00
2026-03-03 07:33:07,81.00,96.00,22.84,50.97,1020.02,20.30,1421.00
2026-03-03 07:38:07,81.00,28.00,22.85,50.94,1020.00,20.30,1412.00
2026-03-03 07:43:07,81.00,48.00,22.85,50.94,1020.04,20.30,1409.00
2026-03-03 07:48:07,81.00,0.00,22.85,50.97,1020.13,20.30,1413.00
2026-03-03 07:53:07,81.00,90.00,22.85,50.95,1020.17,20.30,1413.00
2026-03-03 07:58:07,81.00,85.00,22.86,50.97,1020.21,20.30,1415.00
2026-03-03 08:03:07,81.00,0.00,22.86,50.97,1020.18,20.30,1417.00
2026-03-03 08:08:07,83.00,0.00,22.87,50.95,1020.22,20.30,1414.00
2026-03-03 08:13:07,81.00,0.00,22.86,50.98,1020.24,20.30,1410.00
2026-03-03 08:18:07,81.00,74.00,22.88,50.95,1020.25,20.30,1406.00
2026-03-03 08:23:07,81.00,21.00,22.87,50.93,1020.22,20.30,1408.00
2026-03-03 08:28:07,81.00,47.00,22.88,50.93,1020.20,20.30,1403.00
2026-03-03 08:33:07,81.00,99.00,22.88,50.93,1020.25,20.30,1405.00
2026-03-03 08:38:07,81.00,24.00,22.90,50.91,1020.23,20.30,1408.00
2026-03-03 08:43:07,82.00,18.00,22.90,50.86,1020.23,20.30,1415.00
2026-03-03 08:48:07,81.00,68.00,22.91,50.85,1020.26,20.30,1415.00
2026-03-03 08:53:07,80.00,0.00,22.91,50.89,1020.27,20.30,1416.00
2026-03-03 08:58:07,81.00,0.00,22.91,50.90,1020.33,20.30,1407.00
2026-03-03 09:03:07,81.00,25.00,22.92,50.86,1020.33,20.30,1403.00
2026-03-03 09:08:07,81.00,98.00,22.95,50.81,1020.39,20.30,1404.00
2026-03-03 09:13:07,81.00,93.00,22.95,50.81,1020.35,20.30,1404.00
