timestamp,field1,field2,field3,field4,field5,field6,field7
2026-02-15 00:00:47,0.00,49.00,20.58,99.08,1009.37,20.60,390.00
2026-02-15 00:05:47,0.00,49.00,20.57,99.11,1009.36,20.60,390.00
2026-02-15 00:10:47,0.00,50.00,20.58,99.09,1009.42,20.60,391.00
2026-02-15 00:15:47,0.00,49.00,20.57,99.11,1009.47,20.60,398.00
2026-02-15 00:20:47,0.00,49.00,20.57,99.09,1009.50,20.60,395.00
2026-02-15 00:25:47,0.00,49.00,20.57,99.10,1009.54,20.60,401.00
2026-02-15 00:30:47,0.00,49.00,20.57,99.10,1009.59,20.60,405.00
2026-02-15 00:35:47,0.00,48.00,20.57,99.10,1009.60,20.60,410.00
2026-02-15 00:40:47,0.00,49.00,20.57,99.11,1009.65,20.60,412.00
2026-02-15 00:45:47,0.00,49.00,20.57,99.10,1009.70,20.60,414.00
2026-02-15 00:50:47,0.00,49.00,20.56,99.10,1009.74,20.60,416.00
2026-02-15 00:55:47,0.00,49.00,20.57,99.10,1009.89,20.60,409.00
2026-02-15 01:00:47,0.00,49.00,20.56,99.12,1009.93,20.60,411.00
2026-02-15 01:05:47,0.00,49.00,20.57,99.11,1009.93,20.60,416.00
2026-02-15 01:10:47,0.00,49.00,20.57,99.16,1009.99,20.60,422.00
2026-02-15 01:15:47,0.00,49.00,20.57,99.06,1010.02,20.60,423.00
2026-02-15 01:20:47,0.00,49.00,20.57,99.15,1010.13,20.60,424.00
2026-02-15 01:25:47,0.00,49.00,20.56,99.13,1010.25,20.60,423.00
2026-02-15 01:30:47,0.00,48.00,20.56,99.11,1010.28,20.60,426.00
2026-02-15 01:35:47,0.00,49.00,20.56,99.12,1010.38,20.60,428.00
2026-02-15 01:40:47,0.00,49.00,20.56,99.13,1010.39,20.60,434.00
2026-02-15 01:45:47,0.00,49.00,20.56,99.12,1010.36,20.60,436.00
2026-02-15 01:50:47,0.00,49.00,20.56,99.12,1010.45,20.60,435.00
2026-02-15 01:55:47,0.00,49.00,20.56,99.13,1010.40,20.60,444.00
2026-02-15 02:00:47,0.00,49.00,20.56,99.12,1010.43,20.60,440.00
2026-02-15 02:05:47,0.00,49.00,20.56,99.13,1010.44,20.60,440.00
2026-02-15 02:10:47,0.00,49.00,20.56,99.13,1010.46,20.60,443.00
2026-02-15 02:15:47,0.00,49.00,20.55,99.13,1010.53,20.60,446.00
2026-02-15 02:20:47,0.00,49.00,20.55,99.12,1010.54,20.60,441.00
2026-02-15 02:25:47,0.00,49.00,20.55,99.13,1010.52,20.60,451.00
2026-02-15 02:30:47,0.00,49.00,20.55,99.13,1010.53,20.60,456.00
2026-02-15 02:35:47,0.00,49.00,20.55,99.13,1010.62,20.60,455.00
2026-02-15 02:40:47,0.00,49.00,20.55,99.14,1010.66,20.60,458.00
2026-02-15 02:45:47,0.00,49.00,20.54,99.13,1010.66,20.60,458.00
2026-02-15 02:50:47,0.00,49.00,20.55,99.18,1010.68,20.60,456.00
2026-02-15 02:55:47,0.00,49.00,20.55,99.14,1010.70,20.60,458.00
2026-02-15 03:00:47,0.00,49.00,20.55,99.15,1010.67,20.60,468.00
2026-02-15 03:05:47,0.00,49.00,20.55,99.18,1010.67,20.60,469.00
2026-02-15 03:10:47,0.00,49.00,20.55,99.16,1010.68,20.60,472.00
2026-02-15 03:15:47,0.00,49.00,20.54,99.14,1010.74,20.60,470.00
2026-02-15 03:20:47,0.00,49.00,20.55,99.14,1010.75,20.60,471.00
2026-02-15 03:25:47,0.00,49.00,20.54,99.15,1010.81,20.60,472.00
2026-02-15 03:30:47,0.00,49.00,20.54,99.13,1010.91,20.60,471.00
2026-02-15 03:35:47,0.00,48.00,20.54,99.14,1010.96,20.60,477.00
2026-02-15 03:40:47,0.00,49.00,20.55,99.14,1010.97,20.60,478.00
2026-02-15 03:45:47,0.00,49.00,20.54,99.14,1010.98,20.60,481.00
2026-02-15 03:50:47,0.00,49.00,20.55,99.14,1011.02,20.60,485.00
2026-02-15 03:55:47,0.00,49.00,20.55,99.15,1011.12,20.60,487.00
2026-02-15 04:00:47,0.00,49.00,20.55,99.15,1011.15,20.60,492.00
2026-02-15 04:05:47,0.00,49.00,20.54,99.14,1011.27,20.60,493.00
2026-02-15 04:10:47,0.00,49.00,20.54,99.14,1011.30,20.60,491.00
2026-02-15 04:15:47,0.00,49.00,20.55,99.20,1011.37,20.60,501.00
2026-02-15 04:20:47,0.00,49.00,20.54,99.15,1011.43,20.60,506.00
2026-02-15 04:25:47,0.00,49.00,20.54,99.15,1011.53,20.60,500.00
2026-02-15 04:30:47,0.00,49.00,20.55,99.20,1011.53,20.60,506.00
2026-02-15 04:35:47,0.00,49.00,20.54,99.14,1011.56,20.60,507.00
2026-02-15 04:40:47,0.00,49.00,20.54,99.14,1011.59,20.60,513.00
2026-02-15 04:45:47,0.00,48.00,20.54,99.14,1011.59,20.60,522.00
2026-02-15 04:50:47,0.00,49.00,20.53,99.14,1011.70,20.60,527.00
2026-02-15 04:55:47,0.00,49.00,20.53,99.15,1011.69,20.60,518.00
2026-02-15 05:00:47,0.00,49.00,20.53,99.14,1011.77,20.60,527.00
2026-02-15 05:05:47,0.00,49.00,20.52,99.13,1011.77,20.60,516.00
2026-02-15 05:10:47,0.00,49.00,20.52,99.15,1011.80,20.60,514.00
2026-02-15 05:15:47,0.00,49.00,20.52,99.14,1011.83,20.60,525.00
2026-02-15 05:20:47,0.00,49.00,20.52,99.14,1011.88,20.60,525.00
2026-02-15 05:25:47,0.00,49.00,20.52,99.15,1011.95,20.60,527.00
2026-02-15 05:30:47,0.00,49.00,20.51,99.13,1011.96,20.60,526.00
2026-02-15 05:35:47,0.00,49.00,20.51,99.13,1012.08,20.60,527.00
2026-02-15 05:40:47,0.00,49.00,20.51,99.14,1012.05,20.60,536.00
2026-02-15 05:45:47,0.00,49.00,20.51,99.13,1012.11,20.60,541.00
2026-02-15 05:50:47,0.00,49.00,20.51,99.13,1012.17,20.60,545.00
2026-02-15 05:55:47,0.00,49.00,20.49,99.14,1012.22,20.60,545.00
