timestamp,field1,field2,field3,field4,field5,field6,field7
2026-02-07 00:00:45,0.00,0.00,19.61,47.19,994.97,20.20,1835.00
2026-02-07 00:05:45,0.00,44.00,19.62,47.19,994.96,20.20,1829.00
2026-02-07 00:10:45,0.00,0.00,19.62,47.20,994.93,20.20,1831.00
2026-02-07 00:15:45,0.00,0.00,19.61,47.20,994.94,20.20,1829.00
2026-02-07 00:20:45,0.00,49.00,19.62,47.20,994.96,20.20,1831.00
2026-02-07 00:25:45,0.00,98.00,19.62,47.21,995.01,20.20,1834.00
2026-02-07 00:30:45,0.00,31.00,19.62,47.20,995.09,20.20,1834.00
2026-02-07 00:35:45,0.00,28.00,19.62,47.23,995.13,20.20,1830.00
2026-02-07 00:40:45,0.00,26.00,19.62,47.20,995.16,20.20,1835.00
2026-02-07 00:45:45,0.00,99.00,19.62,47.21,995.18,20.20,1841.00
2026-02-07 00:50:45,0.00,99.00,19.62,47.22,995.25,20.20,1835.00
2026-02-07 00:55:45,0.00,38.00,19.63,47.20,995.34,20.20,1835.00
2026-02-07 01:00:45,0.00,99.00,19.63,47.19,995.36,20.20,1838.00
2026-02-07 01:05:45,0.00,80.00,19.63,47.22,995.37,20.20,1836.00
2026-02-07 01:10:45,0.00,0.00,19.63,47.21,995.40,20.20,1839.00
2026-02-07 01:15:45,0.00,98.00,19.63,47.21,995.48,20.20,1841.00
2026-02-07 01:20:45,0.00,65.00,19.62,47.23,995.51,20.20,1839.00
2026-02-07 01:25:45,0.00,88.00,19.63,47.21,995.50,20.20,1836.00
2026-02-07 01:30:45,0.00,32.00,19.64,47.23,995.52,20.20,1833.00
2026-02-07 01:35:45,0.00,30.00,19.63,47.22,995.52,20.20,1833.00
2026-02-07 01:40:45,0.00,99.00,19.63,47.24,995.59,20.20,1837.00
2026-02-07 01:45:45,0.00,0.00,19.64,47.20,995.57,20.20,1842.00
2026-02-07 01:50:45,0.00,91.00,19.62,47.28,995.55,20.20,1841.00
2026-02-07 01:55:45,0.00,99.00,19.65,47.21,995.56,20.20,1850.00
2026-02-07 02:00:45,0.00,31.00,19.64,47.23,995.63,20.20,1846.00
2026-02-07 02:05:45,0.00,83.00,19.62,47.22,995.60,20.20,1841.00
2026-02-07 02:10:45,0.00,0.00,19.64,47.21,995.59,20.20,1844.00
2026-02-07 02:15:45,0.00,99.00,19.64,47.23,995.60,20.20,1851.00
2026-02-07 02:20:45,0.00,0.00,19.62,47.22,995.59,20.20,1848.00
2026-02-07 02:25:45,0.00,55.00,19.65,47.21,995.61,20.20,1845.00
2026-02-07 02:30:45,0.00,41.00,19.65,47.21,995.62,20.20,1852.00
2026-02-07 02:35:45,0.00,74.00,19.63,47.22,995.65,20.20,1850.00
2026-02-07 02:40:45,0.00,0.00,19.65,47.20,995.60,20.20,1857.00
2026-02-07 02:45:45,0.00,99.00,19.65,47.20,995.63,20.20,1857.00
2026-02-07 02:50:45,0.00,98.00,19.65,47.19,995.69,20.20,1849.00
2026-02-07 02:55:45,0.00,89.00,19.65,47.20,995.69,20.20,1843.00
2026-02-07 03:00:45,0.00,98.00,19.65,47.21,995.71,20.20,1840.00
2026-02-07 03:05:45,0.00,86.00,19.64,47.19,995.71,20.20,1847.00
2026-02-07 03:10:45,0.00,38.00,19.65,47.20,995.77,20.20,1854.00
2026-02-07 03:15:45,0.00,0.00,19.65,47.18,995.71,20.20,1855.00
2026-02-07 03:20:45,0.00,0.00,19.64,47.19,995.74,20.20,1850.00
2026-02-07 03:25:45,0.00,94.00,19.65,47.24,995.74,20.20,1845.00
2026-02-07 03:30:45,0.00,99.00,19.66,47.23,995.77,20.20,1848.00
2026-02-07 03:35:45,0.00,99.00,19.65,47.23,995.84,20.20,1852.00
2026-02-07 03:40:45,0.00,99.00,19.66,47.21,995.91,20.20,1849.00
2026-02-07 03:45:45,0.00,99.00,19.66,47.17,995.97,20.20,1842.00
2026-02-07 03:50:45,0.00,99.00,19.66,47.23,996.04,20.20,1838.00
2026-02-07 03:55:45,0.00,99.00,19.66,47.24,996.05,20.20,1835.00
2026-02-07 04:00:45,0.00,0.00,19.67,47.22,996.01,20.20,1838.00
2026-02-07 04:05:45,0.00,24.00,19.66,47.21,995.96,20.20,1841.00
2026-02-07 04:10:45,0.00,96.00,19.67,47.23,995.98,20.20,1845.00
2026-02-07 04:15:45,0.00,96.00,19.67,47.23,996.08,20.20,1841.00
2026-02-07 04:20:45,0.00,0.00,19.65,47.27,996.02,20.20,1832.00
2026-02-07 04:25:45,0.00,23.00,19.66,47.28,996.09,20.20,1834.00
2026-02-07 04:30:45,0.00,0.00,19.67,47.23,996.07,20.20,1840.00
2026-02-07 04:35:45,0.00,99.00,19.66,47.25,996.09,20.20,1835.00
2026-02-07 04:40:45,0.00,37.00,19.67,47.26,996.13,20.20,1835.00
2026-02-07 04:45:45,0.00,96.00,19.67,47.24,996.16,20.20,1830.00
2026-02-07 04:50:45,0.00,26.00,19.66,47.26,996.21,20.20,1835.00
2026-02-07 04:55:45,0.00,99.00,19.67,47.24,996.20,20.20,1829.00
2026-02-07 05:00:45,0.00,39.00,19.67,47.24,996.20,20.20,1831.00
2026-02-07 05:05:45,0.00,8.00,19.67,47.23,996.31,20.20,1839.00
2026-02-07 05:10:45,0.00,0.00,19.67,47.26,996.41,20.20,1833.00
2026-02-07 05:15:45,0.00,28.00,19.67,47.26,996.42,20.20,1833.00
2026-02-07 05:20:45,0.00,0.00,19.66,47.27,996.45,20.20,1838.00
2026-02-07 05:25:45,0.00,95.00,19.67,47.27,996.55,20.20,1828.00
2026-02-07 05:30:45,0.00,0.00,19.67,47.25,996.57,20.20,1824.00
2026-02-07 05:35:45,0.00,18.00,19.68,47.24,996.54,20.20,1832.00
2026-02-07 05:40:45,0.00,92.00,19.68,47.31,996.51,20.20,1832.00
2026-02-07 05:45:45,0.00,28.00,19.68,47.26,996.60,20.20,1830.00
2026-02-07 05:50:45,0.00,0.00,19.68,47.28,996.65,20.20,1826.00
2026-02-07 05:55:45,0.00,0.00,19.68,47.24,996.65,20.20,1829.00
2026-02-07 06:00:45,82.00,84.00,19.70,47.19,996.67,20.20,1825.00
2026-02-07 06:05:45,83.00,19.00,19.76,47.21,996.71,20.20,1829.00
2026-02-07 06:10:45,82.00,85.00,19.83,47.16,996.70,20.20,1840.00
2026-02-07 06:15:45,82.00,93.00,19.89,47.08,996.71,20.20,1834.00
2026-02-07 06:20:45,82.00,39.00,19.94,47.10,996.71,20.20,1832.00
2026-02-07 06:25:45,82.00,95.00,19.98,47.02,996.71,20.20,1837.00
2026-02-07 06:30:45,82.00,45.00,20.01,46.96,996.72,20.20,1835.00
2026-02-07 06:35:45,82.00,6.00,20.03,46.94,996.78,20.20,1842.00
2026-02-07 06:40:45,82.00,99.00,20.05,46.91,996.82,20.20,1841.00
2026-02-07 06:45:45,82.00,99.00,20.06,46.91,996.88,20.20,1838.00
2026-02-07 06:50:45,82.00,97.00,20.09,46.93,996.97,20.20,1837.00
2026-02-07 06:55:45,82.00,48.00,20.10,46.84,997.01,20.20,1840.00
2026-02-07 07:00:45,82.00,88.00,20.11,46.84,997.02,20.20,1837.00
2026-02-07 07:05:45,82.00,3.00,20.10,46.85,997.07,20.20,1835.00
2026-02-07 07:10:45,82.00,0.00,20.12,46.85,997.17,20.20,1841.00
2026-02-07 07:15:45,82.00,85.00,20.13,46.85,997.28,20.20,1843.00
2026-02-07 07:20:45,82.00,33.00,20.13,46.90,997.32,20.20,1841.00
2026-02-07 07:25:45,82.00,32.00,20.14,46.89,997.29,20.20,1833.00
2026-02-07 07:30:46,82.00,19.00,20.14,46.90,997.30,20.20,1836.00
2026-02-07 07:35:46,79.00,99.00,20.15,46.93,997.32,20.20,1836.00
2026-02-07 07:40:46,82.00,99.00,20.15,46.91,997.37,20.20,1836.00
2026-02-07 07:45:46,83.00,99.00,20.15,46.90,997.39,20.20,1834.00
2026-02-07 07:50:46,82.00,41.00,20.16,46.92,997.47,20.20,1842.00
2026-02-07 07:55:46,82.00,41.00,20.16,46.92,997.56,20.20,1838.00
2026-02-07 08:00:46,82.00,72.00,20.16,46.92,997.58,20.20,1839.00
2026-02-07 08:05:46,82.00,41.00,20.17,46.93,997.59,20.20,1839.00
2026-02-07 08:10:46,82.00,14.00,20.17,46.88,997.64,20.20,1840.00
2026-02-07 08:15:46,80.00,0.00,20.17,46.91,997.66,20.20,1842.00
2026-02-07 08:20:46,82.00,0.00,20.18,46.92,997.66,20.20,1845.00
2026-02-07 08:25:46,82.00,0.00,20.17,46.95,997.63,20.20,1845.00
2026-02-07 08:30:46,82.00,98.00,20.18,46.94,997.67,20.20,1845.00
2026-02-07 08:35:46,82.00,93.00,20.18,46.95,997.69,20.20,1847.00
2026-02-07 08:40:46,82.00,13.00,20.18,46.96,997.75,20.20,1848.00
2026-02-07 08:45:46,82.00,62.00,20.18,46.91,997.82,20.20,1848.00
2026-02-07 08:50:46,82.00,2.00,20.18,46.96,997.88,20.20,1840.00
2026-02-07 08:55:46,82.00,78.00,20.19,46.97,997.88,20.20,1837.00
2026-02-07 09:00:46,82.00,54.00,20.19,46.95,997.96,20.20,1839.00
2026-02-07 09:05:46,83.00,0.00,20.19,46.99,997.98,20.20,1840.00
2026-02-07 09:10:46,82.00,94.00,20.20,46.97,997.96,20.20,1843.00
2026-02-07 09:15:46,75.00,0.00,20.20,47.01,998.06,20.20,1833.00
2026-02-07 09:20:46,82.00,90.00,20.19,47.00,998.05,20.20,1833.00
2026-02-07 09:25:46,84.00,5.00,20.20,46.96,998.04,20.20,1831.00
2026-02-07 09:30:46,82.00,99.00,20.20,47.07,998.15,20.20,1828.00
2026-02-07 09:35:46,82.00,97.00,20.20,46.99,998.23,20.20,1830.00
2026-02-07 09:40:46,82.00,88.00,20.21,46.98,998.31,20.20,1842.00
2026-02-07 09:45:46,82.00,82.00,20.21,47.03,998.36,20.20,1839.00
2026-02-07 09:50:46,82.00,99.00,20.20,47.03,998.40,20.20,1833.00
2026-02-07 09:55:46,81.00,99.00,20.21,47.05,998.42,20.20,1831.00
2026-02-07 10:00:46,82.00,99.00,20.20,47.04,998.44,20.20,1828.00
2026-02-07 10:05:46,82.00,88.00,20.22,47.04,998.50,20.20,1834.00
2026-02-07 10:10:46,82.00,7.00,20.22,47.05,998.54,20.20,-62.00
2026-02-07 10:15:46,82.00,42.00,20.22,47.06,998.65,20.20,1846.00
2026-02-07 10:20:46,82.00,46.00,20.22,47.07,998.75,20.20,1841.00
2026-02-07 10:25:46,82.00,27.00,20.23,47.06,998.75,20.20,1849.00
2026-02-07 10:30:46,84.00,99.00,20.23,47.07,998.72,20.20,1845.00
2026-02-07 10:35:46,82.00,47.00,20.23,47.05,998.75,20.20,1844.00
2026-02-07 10:40:46,82.00,99.00,20.23,47.05,998.77,20.20,1841.00
