timestamp,field1,field2,field3,field4,field5,field6,field7
2026-02-06 00:00:44,0.00,6.00,19.14,46.83,991.86,20.20,1844.00
2026-02-06 00:05:44,0.00,94.00,19.14,46.85,991.85,20.20,1854.00
2026-02-06 00:10:44,0.00,88.00,19.14,46.83,991.81,20.20,1848.00
2026-02-06 00:15:44,0.00,0.00,19.15,46.82,991.79,20.20,1846.00
2026-02-06 00:20:44,0.00,0.00,19.15,46.81,991.70,20.20,1845.00
2026-02-06 00:25:44,0.00,95.00,19.15,46.83,991.63,20.20,1848.00
2026-02-06 00:30:44,0.00,0.00,19.15,46.77,991.56,20.20,1846.00
2026-02-06 00:35:44,0.00,45.00,19.15,46.81,991.60,20.20,1844.00
2026-02-06 00:40:44,0.00,73.00,19.16,46.85,991.53,20.20,1845.00
2026-02-06 00:45:44,0.00,0.00,19.16,46.80,991.46,20.20,1848.00
2026-02-06 00:50:44,0.00,47.00,19.15,46.81,991.43,20.20,1850.00
2026-02-06 00:55:44,0.00,96.00,19.16,46.80,991.42,20.20,1850.00
2026-02-06 01:00:44,0.00,97.00,19.16,46.78,991.42,20.20,1847.00
2026-02-06 01:05:44,0.00,8.00,19.17,46.80,991.50,20.20,1842.00
2026-02-06 01:10:44,0.00,0.00,19.17,46.78,991.63,20.20,1839.00
2026-02-06 01:15:44,0.00,33.00,19.17,46.80,991.58,20.20,1847.00
2026-02-06 01:20:44,0.00,0.00,19.18,46.78,991.55,20.20,1854.00
2026-02-06 01:25:44,0.00,97.00,19.17,46.79,991.53,20.20,1846.00
2026-02-06 01:30:44,0.00,13.00,19.18,46.76,991.51,20.20,1839.00
2026-02-06 01:35:44,0.00,66.00,19.17,46.79,991.50,20.20,1843.00
2026-02-06 01:40:44,0.00,0.00,19.17,46.79,991.49,20.20,1840.00
2026-02-06 01:45:44,0.00,99.00,19.18,46.79,991.59,20.20,1845.00
2026-02-06 01:50:44,0.00,99.00,19.17,46.79,991.61,20.20,1843.00
2026-02-06 01:55:44,0.00,92.00,19.18,46.83,991.60,20.20,1850.00
2026-02-06 02:00:44,0.00,99.00,19.18,46.80,991.56,20.20,1848.00
2026-02-06 02:05:44,0.00,90.00,19.19,46.80,991.53,20.20,1842.00
2026-02-06 02:10:44,0.00,93.00,19.19,46.81,991.49,20.20,1841.00
2026-02-06 02:15:44,0.00,0.00,19.19,46.78,991.47,20.20,1836.00
2026-02-06 02:20:44,0.00,32.00,19.19,46.80,991.40,20.20,1836.00
2026-02-06 02:25:44,0.00,0.00,19.19,46.82,991.36,20.20,1828.00
2026-02-06 02:30:44,0.00,7.00,19.20,46.76,991.32,20.20,1833.00
2026-02-06 02:35:44,0.00,0.00,19.20,46.85,991.23,20.20,1837.00
2026-02-06 02:40:44,0.00,99.00,19.19,46.80,991.17,20.20,1841.00
2026-02-06 02:45:44,0.00,36.00,19.21,46.80,991.19,20.20,1846.00
2026-02-06 02:50:44,0.00,99.00,19.20,46.80,991.14,20.20,1840.00
2026-02-06 02:55:44,0.00,99.00,19.20,46.80,991.10,20.20,1837.00
2026-02-06 03:00:44,0.00,83.00,19.21,46.80,991.07,20.20,1830.00
2026-02-06 03:05:44,0.00,19.00,19.20,46.81,990.92,20.20,1831.00
2026-02-06 03:10:44,0.00,95.00,19.20,46.79,990.83,20.20,1829.00
2026-02-06 03:15:44,0.00,0.00,19.21,46.78,990.76,20.20,1832.00
2026-02-06 03:20:44,0.00,26.00,19.21,46.79,990.78,20.20,1825.00
2026-02-06 03:25:44,0.00,99.00,19.21,46.80,990.71,20.20,1829.00
2026-02-06 03:30:44,0.00,99.00,19.21,46.76,990.72,20.20,1834.00
2026-02-06 03:35:44,0.00,48.00,19.21,46.78,990.68,20.20,1835.00
2026-02-06 03:40:44,0.00,99.00,19.21,46.79,990.73,20.20,1838.00
2026-02-06 03:45:44,0.00,88.00,19.21,46.76,990.78,20.20,1833.00
2026-02-06 03:50:44,0.00,99.00,19.22,46.78,990.78,20.20,1835.00
2026-02-06 03:55:44,0.00,0.00,19.22,46.79,990.71,20.20,1837.00
2026-02-06 04:00:44,0.00,99.00,19.22,46.75,990.73,20.20,1835.00
2026-02-06 04:05:44,0.00,39.00,19.22,46.77,990.76,20.20,1834.00
2026-02-06 04:10:44,0.00,0.00,19.21,46.78,990.77,20.20,1837.00
2026-02-06 04:15:44,0.00,99.00,19.22,46.81,990.74,20.20,1827.00
2026-02-06 04:20:44,0.00,99.00,19.22,46.77,990.75,20.20,1834.00
2026-02-06 04:25:44,0.00,24.00,19.22,46.79,990.79,20.20,1834.00
2026-02-06 04:30:45,0.00,99.00,19.23,46.79,990.75,20.20,1834.00
2026-02-06 04:35:45,0.00,77.00,19.23,46.79,990.74,20.20,1832.00
2026-02-06 04:40:45,0.00,0.00,19.23,46.80,990.73,20.20,1830.00
2026-02-06 04:45:45,0.00,0.00,19.23,46.79,990.73,20.20,1828.00
2026-02-06 04:50:45,0.00,98.00,19.23,46.81,990.80,20.20,1830.00
2026-02-06 04:55:45,0.00,5.00,19.23,46.78,990.78,20.20,1828.00
2026-02-06 05:00:45,0.00,82.00,19.24,46.77,990.73,20.20,1824.00
2026-02-06 05:05:45,0.00,45.00,19.23,46.81,990.75,20.20,1824.00
2026-02-06 05:10:45,0.00,90.00,19.24,46.79,990.79,20.20,1826.00
2026-02-06 05:15:45,0.00,82.00,19.24,46.80,990.81,20.20,1819.00
2026-02-06 05:20:45,0.00,23.00,19.23,46.79,990.83,20.20,1828.00
2026-02-06 05:25:45,0.00,46.00,19.23,46.79,990.83,20.20,1832.00
2026-02-06 05:30:45,0.00,0.00,19.24,46.80,990.80,20.20,1825.00
2026-02-06 05:35:45,0.00,0.00,19.24,46.78,990.90,20.20,1825.00
2026-02-06 05:40:45,0.00,0.00,19.25,46.81,990.89,20.20,1824.00
2026-02-06 05:45:45,0.00,15.00,19.25,46.80,990.87,20.20,1828.00
2026-02-06 05:50:45,0.00,99.00,19.25,46.80,990.86,20.20,1830.00
2026-02-06 05:55:45,0.00,92.00,19.25,46.80,990.83,20.20,1831.00
2026-02-06 06:00:45,83.00,29.00,19.26,46.78,990.85,20.20,1829.00
2026-02-06 06:05:45,82.00,99.00,19.33,46.74,990.87,20.20,1831.00
